country,year,month,sales_figure
Jordan,2010,1,50000
Jordan,2010,2,120000
Jordan,2010,3,510000
Jordan,2010,4,130000
Jordan,2010,5,504000
Jordan,2010,6,140000
Jordan,2010,7,505000
Jordan,2010,8,104000
Jordan,2010,9,530000
Jordan,2010,10,120000
Jordan,2010,11,550000
Jordan,2010,12,160000
Qatar,2010,1,570000
Qatar,2010,2,130000
Qatar,2010,3,520000
Qatar,2010,4,140000
Qatar,2010,5,520000
Qatar,2010,6,160000
Qatar,2010,7,530000
Qatar,2010,8,120000
Qatar,2010,9,540000
Qatar,2010,10,130000
Qatar,2010,11,520000
Qatar,2010,12,110000
Kuwait,2010,1,540000
Kuwait,2010,2,120000
Kuwait,2010,3,530000
Kuwait,2010,4,120000
Kuwait,2010,5,520000
Kuwait,2010,6,140000
Kuwait,2010,7,550000
Kuwait,2010,8,160000
Kuwait,2010,9,540000
Kuwait,2010,10,130000
Kuwait,2010,11,540000
Kuwait,2010,12,160000
