country,year,month,sales_figure
Canada,2010,1,50000
Canada,2010,2,10000
Canada,2010,3,50000
Canada,2010,4,10000
Canada,2010,5,50000
Canada,2010,6,10000
Canada,2010,7,50000
Canada,2010,8,10000
Canada,2010,9,50000
Canada,2010,10,10000
Canada,2010,11,50000
Canada,2010,12,10000
Costa Rica,2011,1,54000
Costa Rica,2011,2,13000
Costa Rica,2011,3,52000
Costa Rica,2011,4,15000
Costa Rica,2011,5,56000
Costa Rica,2011,6,17000
Costa Rica,2011,7,58000
Costa Rica,2011,8,13000
Costa Rica,2011,9,52000
Costa Rica,2011,10,34000
Costa Rica,2011,11,54000
Costa Rica,2011,12,17000
Dominican Republic,2010,1,53400
Dominican Republic,2010,2,13400
Dominican Republic,2010,3,52300
Dominican Republic,2010,4,13200
Dominican Republic,2010,5,53400
Dominican Republic,2010,6,12300
Dominican Republic,2010,7,52300
Dominican Republic,2010,8,13400
Dominican Republic,2010,9,54500
Dominican Republic,2010,10,14500
Dominican Republic,2010,11,53400
Dominican Republic,2010,12,13400
